,0
LP_FAMILIE_FEIN,4
D19_VERSAND_OFFLINE_DATUM,4
CJT_TYP_6,4
ANREDE_KZ,4
FINANZ_SPARER,4
D19_SOZIALES,4
CJT_TYP_1,4
LP_LEBENSPHASE_FEIN,4
VK_DISTANZ,4
CJT_TYP_2,4
SEMIO_VERT,4
KOMBIALTER,4
D19_GESAMT_DATUM,4
AKT_DAT_KL,4
D19_VERSAND_DATUM,4
ALTERSKATEGORIE_FEIN,4
FINANZ_ANLEGER,4
SEMIO_TRADV,4
FINANZ_VORSORGER,4
FINANZ_MINIMALIST,4
LP_FAMILIE_GROB,4
D19_KONSUMTYP_MAX,3
RT_SCHNAEPPCHEN,3
VK_ZG11,3
CJT_TYP_5,3
LP_LEBENSPHASE_GROB,3
HH_EINKOMMEN_SCORE,3
PRAEGENDE_time,3
SEMIO_KRIT,3
EINGEZOGENAM_HH_JAHR,3
D19_KONSUMTYP,3
OST_WEST_KZ,3
SEMIO_KAEM,3
ALTERSKATEGORIE_GROB,2
GREEN_AVANTGARDE,2
ANZ_STATISTISCHE_HAUSHALTE,2
KBA13_BMW,2
D19_GESAMT_ONLINE_DATUM,2
CJT_TYP_4,2
D19_BUCH_CD,2
D19_GESAMT_OFFLINE_DATUM,2
KBA13_SITZE_5,2
D19_VERSAND_ANZ_24,2
ZABEOTYP,2
SEMIO_PFLICHT,2
KBA13_SEG_SPORTWAGEN,2
SEMIO_KULT,2
CJT_TYP_3,2
D19_GESAMT_ANZ_24,2
D19_VERSAND_ONLINE_DATUM,2
PRAEGENDE_avant,2
KBA13_HERST_BMW_BENZ,2
KBA13_CCM_1800,2
RT_UEBERGROESSE,2
ANZ_PERSONEN,2
SEMIO_LUST,2
ALTER_HH,2
